symbol,added_date,removed_date,ipo_date,first_liquid_date,delisted_date,source,notes
T,1957-03-04,,,,,index,current S&P 500
TGT,1976-12-31,,,,,index,current S&P 500
TM,,,1999-09-29,1999-12-28,,non_index,ADR liquidity inclusion
TMUS,2019-07-15,,,,,index,current S&P 500
TSLA,2020-12-21,,,,,index,S&P 500 addition
TSM,,,1997-10-09,1998-01-07,,non_index,ADR liquidity inclusion
TXN,1960-12-31,,,,,index,current S&P 500
UBER,2023-12-18,,,,,index,S&P 500 addition
UNH,1994-07-01,,,,,index,current S&P 500
UPS,2002-07-22,,,,,index,current S&P 500
V,2009-12-21,,,,,index,current S&P 500
VRT,2025-03-24,,,,,index,S&P 500 addition
VZ,1983-11-30,,,,,index,current S&P 500
WFC,1976-06-30,,,,,index,current S&P 500
WMT,1982-08-31,,,,,index,current S&P 500
XLF,,,1998-12-16,1999-03-16,,non_index,ETF inclusion after 90-day grace
XLK,,,1998-12-16,1999-03-16,,non_index,ETF inclusion after 90-day grace
ZS,,,2018-03-16,2018-06-14,,non_index,IPO inclusion after 90-day grace
